id,name,lat,lon,address,phone,shop_url,images,event_title,event_date,price,quota,current_member,score,event_summary,event_description,register_date
1,貝と地酒専門～ かいのみ,35.686671,139.727752,東京都新宿区四谷1-19-16 第一上野ビル2F,050-5789-6233,http://mobile.gnavi.co.jp/shop/p605908/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=p605908v.png&sid=p605908,獺祭 磨き その先へ,12/28/2015,3000,42,3,61,磨き二割三分を超えるその先を目指し開発された「獺祭 磨き その先へ」。従来の純米大吟醸のスタイルでは到達できない新しい酒質をご堪能ください,"「いかに困難が予想されても、いかに現在(いま)が心地好くても、その先へ、我に安住の地はなし」。
　ここ数年間、幾度も挑戦し続け、遂に完成した新たな境地「獺祭磨きその先へ」。獺祭二割三分を超える酒として造られ、従来の純米大吟醸のスタイルで到達できない酒質を味わうことができ、美しい香りと両立する味の複雑性・重層性と長い余韻を持っています。現在は入手も困難なこの一品、この機会に是非味わってみてください。",11/18/2015
2,Cube Dining －キューブダイニング－,34.668136,135.502381,大阪府大阪市中央区西心斎橋2-1-18 オーパスワンビル3F,050-5787-3005,http://mobile.gnavi.co.jp/shop/kc8r200/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=kc8r200v.JPG&sid=kc8r200,ボルドーとカリフォルニアの融合、オーパスワン,11/26/2015,5000,30,11,36,言わずと知れた、カリフォルニアワイン業界を牽引してきた世界屈指のプレミアムワイン、「オーパスワン」。ボルドーの要素である気品や緻密さと、カリフォルニアの要素である力強さや芳醇さのバランスは唯一無二の味わいです。,"言うまでもなく、オーパス・ワンは、ボルドーメドック格付け第一級、シャトー･ムートン･ロスチャイルドを所有するバロン・フィリップ･ド・ロスチャイルド男爵と、カリフォルニアワイン界の重鎮、ロバート・モンダヴィ氏という2人の巨匠が見た夢のワイン。
　そのオーパス・ワンがワイン造りの重要なコンセプトとして掲げているのが、「TIME＆PLACE」。TIME（時）は、それぞれのヴィンテージの個性とともに、偉大なワインの根幹である果実の凝縮感と複雑味、それがブドウが芽吹き成熟してゆく季節の経過によってもたらされることを示しています。PLACE（場所）は、地形、地質、気候などオークヴィルという土地に備わったテロワール的な要素を指します。これは力強さ、フィネス、テクスチャーなど、オーパス・ワンが他のカリフォルニアワインとも異なる要因と言えるでしょう。
　まさに唯一無二とも言えるその味をこの機会に味わってください。",10/6/2015
3,カフェ・イタリアーノ ラ・ステラ,35.702995,139.821729,東京都江東区亀戸3-43-17 103,03-5875-0713,http://mobile.gnavi.co.jp/shop/gddz800/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=gddz800v.jpg&sid=gddz800,イタリアワインの至宝、サッシカイア,3/20/2016,3000,84,9,1,イタリアワイン好きなら、知らない人はいない、イタリアワインの至宝「サッシカイア」。イタリアで最も権威あるワインガイド、ガンベロロッソにおいて「最優秀赤ワイン」に選ばれたその味をご堪能ください。,"トスカーナにありながら、D.O.C法の規定とは異なる品種や製法で造られるワイン、スーパータスカン。その代表的な造り手がトスカーナ海岸エリアのボルゲリ地区にあるサッシカイアです。
　先代のマリオ･インチーザ侯爵のボルドーワイン好きが高じ、ラフィットから持ち帰ったカベルネ・ソーヴィニヨンを植樹したことが始まり。その樹はボルドー・メドック地区と近い特性をもち、国際品種に最適な条件が揃っていたボルゲリの土壌で開花し、ボルドーブレンドのサッシカイアが誕生しました。当時の規定上、原産地呼称を名乗ることはできませんでしたが、1990年代から全世界で熱狂的なブームを起こし、ついに1994年には『ボルゲリ・サッシカイア』として、イタリアでは唯一、単独ワイナリーでのD.O.C昇格を果たしました。
　壮大な構造の中に溌剌とした酸、それと同じくらい感じられる果実の甘味と旨みが力強いタンニンに溶け込んでおり、余韻には黒スグリや杉のような風味が心地よく広がります。",2/29/2016
4,花くるま,35.188404,136.908641,愛知県名古屋市北区柳原4-4-4 中杉ビル1F,050-5799-4604,http://mobile.gnavi.co.jp/shop/n660200/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=n660200v.jpg&sid=n660200,山形の地酒、十四代,11/22/2015,3500,98,22,1,開栓したときとの変化はあまりなく、上立ち香はここちよくバニラ様に華やかに香ります。含むと、単なる淡い大吟醸とは一線を画し、とろけそうなやさしい甘味が膨らむ・・・,"何といっても瓶に特徴があるので、ラベルに関してはその外観を崩さないものとなっています。裏ラベル的要素。瓶の刻印が表ラベル（顔）といったところか。この特徴ある十四代「龍泉」をシンボライズした「双龍」と「泉」の図柄は、香港の彫師・陳錦栄氏によるもの。
　発売当初はこの瓶のものだけでしたが、現在はもう少し簡素な機械式の四合瓶で出荷されています。和紙のセンターに「龍泉」、右に銘柄が書かれたラベルで瓶代の分価格差があります。また裏ラベルのデータでは、兵庫県産山田錦35%精米の熟成となっており、2009年12月出荷分より造りも変化しております。
　開栓したときとの変化はあまりなく、上立ち香はここちよくバニラ様に華やかに香ります。含むと、単なる淡い大吟醸とは一線を画し、とろけそうなやさしい甘味が膨らむ・・・",11/15/2015
5,美濃家,43.062335,141.35249,北海道札幌市中央区北1条西3 ばらと北1条ビルB1,011-242-6600,http://mobile.gnavi.co.jp/shop/h352800/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=h352800v.gif&sid=h352800,シャトー・カロン・セギュール,12/15/2015,4000,37,8,86,近年、凝縮感を特徴としたモダンなスタイルへシフトするシャトーがあるなか、長年愛されてきた、熟成によって花開くクラシックなボルドースタイルを追求するシャトーなのです。,サン・テステフ村の最北端の、格付けシャトーです。18世紀に当時ラフィットやラトゥールを所有していたセギュール侯爵が残した言葉「われラフィットやラトゥールをつくりしが、わが心カロンにあり」はあまりにも有名ですね。当時から１級シャトーにも劣らない魅力的なワインをリリースしていたのです。1960年代以降はスランプが続いていましたが、1990年代以降、オーナーであるマダム・ガスクトンによってかつてのクオリティを取り戻してきており、今では最も買い得なシャトーとも言われています。マダムの信念は「賞を取れるワインを造ることではなく、偉大なワインを愛してくださる消費者の方々に、飲んで楽しめるものを贈ること」。近年、凝縮感を特徴としたモダンなスタイルへシフトするシャトーがあるなか、長年愛されてきた、熟成によって花開くクラシックなボルドースタイルを追求するシャトーなのです。,11/20/2015
6,どっとはいる,35.722798,139.704456,東京都新宿区下落合3-18-2,050-5787-3690,http://mobile.gnavi.co.jp/shop/gd38001/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=gd38001v.jpg&sid=gd38001,あのドンペリを格安で飲みませんか,2/2/2016,2000,99,25,74,"ドンペリは、日本では知名度も抜群、人気No.１のシャンパンと言われています。""ドンペリ""の名を知らない方の方が少ないかもしれません。 ドンペリは、成熟された深さゆえの複雑な豊かさの中に、フレッシュさも感じらるシャンパンとのこと。","知名度抜群の""ドンペリ(ドン　ペリニヨン)""。でも、ワインやシャンパン初心者にとってふと浮かぶ疑問、ドンペリって何！？
実際は、ドンペリについて知らない、そんな方も多くいらっしゃると思います。
""高価""、""特別""、""極上""というようなイメージがあるドンペリは、贈り物としても最適のように感じられますが、贈る側として困るのが、分からないものを贈るという不安。
そんな不安を解消すべく、ドンペリについての基礎情報をまとめてみました。 下記カテゴリーに分けてありますので、ご興味のある情報をご覧ください。",1/2/2016
7,庵,35.666771,139.60288,東京都世田谷区南烏山5-20-15,050-5789-9390,http://mobile.gnavi.co.jp/shop/e840400/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=e840400v.jpg&sid=e840400,森伊蔵,11/26/2015,1000,56,25,24,鹿児島産の有機栽培のサツマイモを原料とし、手間の掛かる伝統的なかめつぼ仕込みにより生産している。イモ臭さを除去したまろやかな味を特徴としている。「幻の焼酎」として知られる。,"鹿児島産の有機栽培のサツマイモを原料とし、手間の掛かる伝統的なかめつぼ仕込みにより生産している。イモ臭さを除去したまろやかな味を特徴としている。「幻の焼酎」として知られる。「魔王」「村尾」と合わせて「3M」と呼ばれる。
フランスの元大統領・ジャック・シラクは森伊蔵が大好物であるとされている。当時のトヨタ自動車社長・張富士夫がレジオンドヌール勲章を受けた返礼として12本を持参したところ、叙勲式で「これ以上うれしいことはない。よくぞこれだけの本数をそろえていただいた。私のことをアルコール中毒と思わないでくださいね」と語って周囲を笑わせたという。
日本航空では、国内線および国際線ファーストクラスで通年提供しており、当該クラスの乗客は無料で味わうことが出来る。なお同様のサービスを提供しているのは世界の航空会社では日本航空のみである。",10/12/2015
8,銀座 久保田 朝日酒造直営店,35.668136,139.761311,東京都中央区銀座8-8-8 銀座888ビル3F,050-5786-5378,http://r.gnavi.co.jp/sjc3e5ry0000/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://mobile.gnavi.co.jp/shop/e036404/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,久保田　万寿,3/18/2016,1800,77,1,79,香り、味ともに、蔵人が絶妙に仕上げた「久保田シリーズ」の最高峰です。柔らかな口当りと調和のとれた旨味で、軽く冷やしても、わずかに温めても、存在感を主張します。,"久保田のラインナップの中では最高峰。柔らかく品のある味わいになる酒米「五百万石」を使用した純米大吟醸。華やかさと落ち着きを感じる吟醸香には嫌味がなく、みずみずしくなめらかで角の取れた舌触りと、すっきりと癖のない後味が魅力。「日本酒は臭い」というイメージを一新してくれた名品のひとつ。原酒が人気の中、アルコール度数15度のやさしい口当たりも忘れてならない人気の秘密。無濾過など濃い目の味わいに疲れたときにいい。やはり冷やしてフルーティーで清らかな風味を楽しみたい。10度前後で、薄手の磁器や小ぶりのワイングラスに注いで。ちなみに今もってプレミア価格のつく商品。1800ｍｌが10,000円はざら。",2/2/2016
9,ウーベルチュール,35.727947,139.733045,東京都豊島区南大塚1-16-5 ラフィーネ南大塚1F,03-3942-6200,http://mobile.gnavi.co.jp/shop/a563400/?ak=tM4sjdU8GnKIRhs9o24aiPg3CCe8huqc7myuQKFNe0o%3D,http://apicache.gnavi.co.jp/image/rest/index.php?img=a563400v.jpg&sid=a563400,シャトー・オー・ブリオン,2/20/2016,4100,54,9,45,"5大シャトーの中で最もエレガントなアロマを放つ、優雅なワイン。
ボルドーの偉大なヴィンテージが生み出す、長命で芳醇な味わい。","五大シャトーのなかで、 唯一グラーヴ地区から選ばれたオー・ブリオン。 
そして五大シャトーの中でも最もエレガントで他にない複雑なアロマで世界のワインファンを魅了するワインです。 ボルドー市街の南に広がるグラーヴ地区は、最も個性的なボルドーワインを産出する土地で、赤白のほか、貴腐ワインなど様々なワインを生み出しています。 ロバート・パーカー氏は、オー・ブリオンについて、「この偉大な一級シャトーは世界で最もエレガントで、アロマの複雑なワインをつくっている。
1980年代初め以降、オーブリオンほどの一貫性と、輝かしい品質を示すシャトーはほかにない。」（『ボルドー第４版』より）と評しています。",1/28/2016
10,,,,,,,,バローロ･ブリッコ･ペルニーチェ,2/20/2016,5000,64,22,4,"世界的に高い評価を受ける、ランゲの知る人ぞ知るワイナリー。
良年のみ造られる、歴史と伝統を貫いた贅沢なバローロ。","エルヴィオ･コーニョは、北イタリア・ノヴェッロ近郊の「ブリッコ・ラヴェーラ」の丘の頂上にある、家族経営のワイナリーです。
1950年代末、伝統的なバローロのワイナリー、「マルカリーニ」で醸造を担当してきたエルヴィオ・コーニョ氏は、 マルカリーニに統合されていた畑を1990年に自身の名前でブドウ畑を購入、「エルヴィオ･コーニョ」としてのワイン造りを始めました。
現在ワイン造りを手掛けているのは、エルヴィオ・コーニョ氏の娘、ナディア女史と娘婿のヴァルテール・フィッソーレ氏。先代から受け継がれる、頑固な職人気質とテロワールへの深い愛情、確固たる誇りを持ちワイン造りを行い、高品質でバランスが良く、上品かつ贅沢なワインを造っています。
一番の特徴は、現在でも国際品種を一切使わず、ネッビオーロを中心としたピエモンテ州ランゲに古くからある土着品種のみを使用していること。ブドウ栽培を最重要視し、栽培の促進や抑制は行わず、農薬や化学肥料はほとんど使用せずに、伝統的な、あくまで自然に任せたブドウ栽培を行っています。
また、醸造過程において、発酵にも土着の酵母を使用。バリックの使用を抑え、主に伝統的な大樽を用いてゆっくりと時間をかけて熟成させることで、樽の風味が強すぎない、果実本来の繊細でピュアな味わいを造り出しています。",2/1/2016
